Date,"""Date+Time""",PM2.5 Conc__(ug/m3),Wind'Speed (miles/h),Wind Direction (Degrees),Date,% RH,error,technician
5/9/2018,20:00,13,0,68,5/9/2018,,,
5/9/2018,21:00,18,0,68,5/9/2018,,,
5/9/2018,22:00,15,0,---,5/9/2018,,,
5/9/2018,23:00,13,0,135,5/9/2018,,,
5/10/2018,0:00,9,0,248,5/10/2018,,,
5/10/2018,1:00,15,0,270,5/10/2018,,,
5/10/2018,2:00,6,1,203,5/10/2018,,,
5/10/2018,3:00,10,1,225,5/10/2018,,,
5/10/2018,4:00,11,1,225,5/10/2018,,,
5/10/2018,5:00,8,3,203,5/10/2018,,,
5/10/2018,6:00,8,3,270,5/10/2018,,,
5/10/2018,7:00,8,3,225,5/10/2018,,,
5/10/2018,8:00,7,4,270,5/10/2018,,,
5/10/2018,9:00,8,3,293,5/10/2018,,,
5/10/2018,10:00,6,4,68,5/10/2018,,,
5/10/2018,11:00,9,7,68,5/10/2018,,,
5/10/2018,12:00,10,7,68,5/10/2018,,,
5/10/2018,13:00,7,6,68,5/10/2018,,,
5/10/2018,14:00,11,7,68,5/10/2018,,,
5/10/2018,15:00,14,8,68,5/10/2018,,low,
5/10/2018,16:00,16,6,68,5/10/2018,,,
5/10/2018,17:00,11,7,68,5/10/2018,,,
5/10/2018,18:00,19,7,68,5/10/2018,,,
5/10/2018,19:00,21,5,135,5/10/2018,,,
5/10/2018,20:00,11,2,68,5/10/2018,,,
5/10/2018,21:00,13,0,,5/10/2018,,,
5/10/2018,22:00,11,0,203,5/10/2018,,,
5/10/2018,23:00,9,0,203,5/10/2018,,,
5/11/2018,0:00,6,1,68,5/11/2018,,,
5/11/2018,1:00,10,0,,5/11/2018,,,
5/11/2018,2:00,8,1,158,5/11/2018,,,
5/11/2018,3:00,6,1,293,5/11/2018,,,
5/11/2018,4:00,6,1,270,5/11/2018,,,
5/11/2018,5:00,6,0,270,5/11/2018,,,
5/11/2018,6:00,6,0,90,5/11/2018,,,
5/11/2018,7:00,7,0,248,5/11/2018,,,
5/11/2018,8:00,7,1,0,5/11/2018,,,
5/11/2018,9:00,8,4,90,5/11/2018,,,
5/11/2018,10:00,9,4,68,5/11/2018,,,
5/11/2018,11:00,12,5,68,5/11/2018,,,
5/11/2018,12:00,9,7,0,5/11/2018,,,
5/11/2018,13:00,16,7,0,5/11/2018,,,
5/11/2018,14:00,12,7,23,5/11/2018,,,
5/11/2018,15:00,9,7,23,5/11/2018,,,
5/11/2018,16:00,9,8,0,5/11/2018,,high,
5/11/2018,17:00,6,6,0,5/11/2018,,,
5/11/2018,18:00,6,5,23,5/11/2018,,,
5/11/2018,19:00,7,3,23,5/11/2018,,,
5/11/2018,20:00,6,2,23,5/11/2018,,,
5/11/2018,21:00,5,3,113,5/11/2018,,,
5/11/2018,22:00,8,4,135,5/11/2018,,,
5/11/2018,23:00,7,3,135,5/11/2018,,,
5/12/2018,0:00,10,2,113,5/12/2018,,,
5/12/2018,1:00,5,4,90,5/12/2018,,,
5/12/2018,2:00,3,2,45,5/12/2018,,,
5/12/2018,3:00,filter error,2,135,5/12/2018,,,
5/12/2018,4:00,4,1,158,5/12/2018,,,
5/12/2018,5:00,4,1,0,5/12/2018,,,
5/12/2018,6:00,3,1,113,5/12/2018,,,
5/12/2018,7:00,4,1,315,5/12/2018,,,
5/12/2018,8:00,3,0,338,5/12/2018,,,
5/12/2018,9:00,4,1,338,5/12/2018,,,
5/12/2018,10:00,4,4,338,5/12/2018,,,
5/12/2018,11:00,2,2,203,5/12/2018,,,
5/12/2018,12:00,2,3,158,5/12/2018,,,
5/12/2018,13:00,2,6,23,5/12/2018,,,
5/12/2018,14:00,5,6,45,5/12/2018,,,
5/12/2018,15:00,7,4,90,5/12/2018,,,
5/12/2018,16:00,7,4,68,5/12/2018,,,
5/12/2018,17:00,6,3,68,5/12/2018,,,
5/12/2018,18:00,6,3,113,5/12/2018,,,
5/12/2018,19:00,8,1,113,5/12/2018,,,
5/12/2018,20:00,6,0,113,5/12/2018,,,
5/12/2018,21:00,4,0,,5/12/2018,,,
5/12/2018,22:00,6,2,68,5/12/2018,,,
5/12/2018,23:00,5,4,135,5/12/2018,,,
5/13/2018,0:00,2,2,135,5/13/2018,,,
5/13/2018,1:00,2,1,135,5/13/2018,,,
5/13/2018,2:00,3,1,68,5/13/2018,,,
5/13/2018,3:00,filter error,1,68,5/13/2018,,,
5/13/2018,4:00,5,1,45,5/13/2018,,,
5/13/2018,5:00,4,3,68,5/13/2018,,,
5/13/2018,6:00,3,2,158,5/13/2018,,,
5/13/2018,7:00,4,1,23,5/13/2018,,,
5/13/2018,8:00,3,2,90,5/13/2018,,,
5/13/2018,9:00,1,2,113,5/13/2018,,,
5/13/2018,10:00,1,3,68,5/13/2018,,,
5/13/2018,11:00,3,3,90,5/13/2018,,,
5/13/2018,12:00,5,2,135,5/13/2018,,,
5/13/2018,13:00,6,3,135,5/13/2018,,,
5/13/2018,14:00,6,4,338,5/13/2018,,,
5/13/2018,15:00,8,6,68,5/13/2018,,,
5/13/2018,16:00,5,7,68,5/13/2018,,,
